Location,Latitude,Longitude,Addresses,Date Published,Media Outlet,Title ,Author ,Author's Twitter ,Form of Media,International?,Media Market,Duplicated?,Direct Interview?
MapsTooltip - Hidden - StringFilter,MapsLat - Hidden - NoFilter,MapsLong - Hidden - NoFilter,CategoryFilter,StringFilter,StringFilter,StringFilter,StringFilter,StringFilter,CSVFilter,CategoryFilter,CSVFilter,StringFilter,
"new York, New York",40.7127753,-74.0059728,,2/7/2015,Huffington Post,Is Sewage Beer The Next Big Thing?,Alison Spiegel,https://twitter.com/AlisonSpiegel,online,No ,USA,,"Yes, Mark Jockers"
"Portland, OR",45.5230622,-122.6764815,,2/11/2015,Oregonian,Transforming sewage into beer? Science behind Oregon brewers' plan,Dana Tims,https://twitter.com/DanaTims,Online,No ,Portland ,,"Yes, Mark Jockers"
"Portland, OR",45.5230622,-122.6764815,,2/12/2015,KATU ,Bottoms up! Pure Water Brew project uses purified sewage in beer,Emily Sinovic,https://twitter.com/EmilySinovic,"Television, online, written article ",No ,Portland ,,
NA,37.3425699,-94.618808,,2/16/2015,Water Online,Sewage Brewage: Making Beer From Wastewater,Sara Jerome ,https://twitter.com/sarmje,online,No ,USA,,
"London, UK",51.5073509,-0.1277583,,2/17/2015,The Guardian ,Bodies into food and sewage into beer: you are the hot new thing in recycling,Katharine Gammon ,https://twitter.com/kategammon,online,No ,USA,,"Yes, Bill Gaffi and Mark Jockers"
"Portland, OR",45.5230622,-122.6764815,,2/18/2015,Portland Business Journal,Hillsboro's out to prove you can brew beer with wastewater,Wendy Culverwell,https://twitter.com/PDXBIZWendy,Online ,No ,Oregon,,"yes, Mark Jockers"
"Victoria, British Columbia",48.4284207,-123.3656444,,2/18/2015,Victoria News,LETTER: From sewage to ‘brewage�?�?Cheers!,Gordon Pollard,,online,Yes,Canada,,
"Washington, DC",38.9071923,-77.0368707,,2/19/2015,The  Atlantic Montly CityLab,Oregon Homebrewers Get Set to Experiment With 'Sewerage Brewerage',Kriston Capps,https://twitter.com/kristoncapps,Online ,No ,World ,,"Yes, Mark Jockers"
"London, UK",51.5073509,-0.1277583,,3/7/2015,The Guardian,Value from sewage? A new technology cleans up waste water,Erica Gies,https://twitter.com/egies,Online,No ,World ,Referenced in Business Journal from 2/18,
"new York, New York",40.7127753,-74.0059728,,3/12/2015,Wall Street Journal,Why West Coast Recyclers Think Sewage Water Might Make Good Beer,Katy Muldoon ,https://twitter.com/katymuldoon ,online,No ,USA,,"Yes, Mark Jockers"
NA,37.3425699,-94.618808,,3/13/2015,Telegraph ,Would you drink beer made from sewage water?,Saffron Alexander,https://twitter.com/ssaffronn ,online,No ,USA,,
